date,cloud,account_id,gcp_project_id,service,region,resource_id,resource_type,cost_unblended_usd,usage_qty,usage_unit,tag_team,tag_env,tag_app,tag_owner
11/3/2025,aws,aws-acct-002,,ec2,us-west-2,ec2-1257,vm-small,8.64,108.76,instance_hours,mlops,prod,risk-monitor,mlops_owner
11/3/2025,aws,aws-acct-001,,ec2,us-east-1,ec2-9239,vm-gpu-l4,44.05,189.26,instance_hours,data,prod,finops-core,data_owner
11/3/2025,aws,aws-acct-001,,ec2,us-west-2,ec2-3330,vm-gpu-l4,55.62,219.55,instance_hours,platform,prod,rag-service,platform_owner
11/3/2025,aws,aws-acct-001,,ec2,us-east-1,ec2-7229,vm-small,3.48,41.56,instance_hours,data,nonprod,data-lake,data_owner
11/3/2025,aws,aws-acct-001,,ec2,us-west-2,ec2-2372,vm-small,3.88,59.29,instance_hours,finops,prod,risk-monitor,finops_owner
11/3/2025,aws,aws-acct-001,,ec2,us-west-2,ec2-4948,vm-gpu-a10,8.37,34.19,instance_hours,platform,prod,data-lake,platform_owner
11/3/2025,aws,aws-acct-001,,ec2,us-east-1,ec2-2410,vm-gpu-a10,17.03,67.44,instance_hours,mlops,nonprod,data-lake,mlops_owner
11/3/2025,aws,aws-acct-002,,ec2,us-west-2,ec2-6809,vm-medium,4.2,46.92,instance_hours,security,prod,rag-service,security_owner
11/3/2025,aws,aws-acct-002,,ec2,us-west-2,ec2-2359,vm-gpu-a10,19.39,73.2,instance_hours,data,prod,data-lake,data_owner
11/3/2025,aws,aws-acct-001,,ec2,us-west-2,ec2-7814,vm-medium,3.22,41.16,instance_hours,mlops,nonprod,finops-core,mlops_owner
11/3/2025,aws,aws-acct-001,,ec2,us-west-2,ec2-8086,vm-gpu-l4,30.08,119.3,instance_hours,mlops,prod,finops-core,mlops_owner
11/3/2025,aws,aws-acct-001,,ec2,us-east-1,ec2-8937,vm-gpu-a10,24.46,91.14,instance_hours,security,prod,agent-platform,security_owner
11/3/2025,aws,aws-acct-001,,ec2,us-west-2,ec2-9415,vm-gpu-l4,37.34,137.2,instance_hours,mlops,nonprod,data-lake,mlops_owner
11/3/2025,aws,aws-acct-001,,eks,us-west-2,eks-3997,k8s-nodes,1.62,32.07,node_hours,mlops,nonprod,agent-platform,mlops_owner
11/3/2025,aws,aws-acct-001,,eks,us-west-2,eks-8893,k8s-nodes,1.64,28.98,node_hours,mlops,nonprod,finops-core,mlops_owner
11/3/2025,aws,aws-acct-001,,eks,us-west-2,eks-8573,k8s-nodes,3.24,64.09,node_hours,mlops,prod,finops-core,mlops_owner
11/3/2025,aws,aws-acct-002,,eks,us-west-2,eks-8393,k8s-nodes,4.41,82.89,node_hours,finops,prod,agent-platform,finops_owner
11/3/2025,aws,aws-acct-001,,eks,us-east-1,eks-2093,k8s-nodes,3.22,69.07,node_hours,mlops,prod,rag-service,mlops_owner
11/3/2025,aws,aws-acct-002,,eks,us-east-1,eks-4370,k8s-nodes,0.17,3.7,node_hours,finops,nonprod,data-lake,finops_owner
11/3/2025,aws,aws-acct-001,,eks,us-east-1,eks-6278,k8s-nodes,1.38,28.41,node_hours,security,nonprod,data-lake,security_owner
11/3/2025,aws,aws-acct-002,,eks,us-west-2,eks-1874,k8s-nodes,5.48,124.12,node_hours,security,prod,agent-platform,security_owner
11/3/2025,aws,aws-acct-001,,s3,us-west-2,s3-8890,snapshot,2.69,145.96,gb_month,mlops,prod,data-lake,mlops_owner
11/3/2025,aws,aws-acct-001,,s3,us-west-2,s3-5694,snapshot,4.69,239.28,gb_month,finops,prod,risk-monitor,finops_owner
11/3/2025,aws,aws-acct-002,,s3,us-west-2,s3-2800,snapshot,2.56,121.14,gb_month,mlops,nonprod,finops-core,mlops_owner
11/3/2025,aws,aws-acct-002,,s3,us-east-1,s3-7223,snapshot,2.96,151.37,gb_month,data,nonprod,agent-platform,data_owner
11/3/2025,aws,aws-acct-002,,s3,us-west-2,s3-9417,bucket-std,7.83,383.9,gb_month,data,prod,risk-monitor,data_owner
11/3/2025,aws,aws-acct-001,,s3,us-east-1,s3-3899,bucket-std,5.12,257.03,gb_month,security,prod,agent-platform,security_owner
11/3/2025,aws,aws-acct-002,,rds,us-west-2,rds-7790,postgres-small,8.92,94.55,db_hours,data,nonprod,rag-service,data_owner
11/3/2025,aws,aws-acct-001,,rds,us-west-2,rds-8433,postgres-medium,5.7,56.46,db_hours,data,prod,finops-core,data_owner
11/3/2025,aws,aws-acct-001,,rds,us-east-1,rds-4245,postgres-small,4.97,41,db_hours,data,nonprod,rag-service,data_owner
11/3/2025,aws,aws-acct-001,,rds,us-east-1,rds-4614,postgres-small,2.51,24.24,db_hours,mlops,prod,data-lake,mlops_owner
11/3/2025,aws,aws-acct-001,,rds,us-west-2,rds-2393,postgres-small,5.86,53.68,db_hours,platform,prod,rag-service,platform_owner
11/3/2025,aws,aws-acct-001,,rds,us-east-1,rds-9975,postgres-medium,11.9,98.59,db_hours,security,prod,agent-platform,security_owner
11/3/2025,aws,aws-acct-002,,cloudwatch,us-west-2,cloudwatch-8899,metrics,1.29,489.88,metrics,security,prod,data-lake,security_owner
11/3/2025,aws,aws-acct-002,,cloudwatch,us-east-1,cloudwatch-5624,logs,0.28,130.87,metrics,platform,nonprod,risk-monitor,platform_owner
11/3/2025,aws,aws-acct-001,,cloudwatch,us-west-2,cloudwatch-8538,logs,0.79,322.28,metrics,platform,prod,data-lake,platform_owner
11/3/2025,aws,aws-acct-002,,cloudwatch,us-east-1,cloudwatch-3737,logs,0.7,259.27,metrics,,,,platform_owner
11/3/2025,aws,aws-acct-001,,cloudwatch,us-west-2,cloudwatch-4347,logs,0.89,357.29,metrics,platform,nonprod,risk-monitor,platform_owner
11/3/2025,aws,aws-acct-002,,cloudwatch,us-east-1,cloudwatch-2009,metrics,0.61,230.82,metrics,mlops,nonprod,finops-core,mlops_owner
11/3/2025,aws,aws-acct-002,,cloudwatch,us-east-1,cloudwatch-9273,logs,0.47,173.88,metrics,data,nonprod,data-lake,data_owner
11/3/2025,aws,aws-acct-001,,cloudwatch,us-west-2,cloudwatch-9305,logs,0.58,259.25,metrics,mlops,prod,risk-monitor,mlops_owner
11/3/2025,aws,aws-acct-001,,cloudwatch,us-east-1,cloudwatch-1765,metrics,0.64,244.07,metrics,finops,prod,agent-platform,finops_owner
11/3/2025,aws,aws-acct-001,,cloudwatch,us-west-2,cloudwatch-7932,logs,1.71,702.95,metrics,finops,prod,agent-platform,finops_owner
11/3/2025,aws,aws-acct-002,,cloudwatch,us-west-2,cloudwatch-7071,metrics,0.85,323.96,metrics,finops,prod,risk-monitor,finops_owner
11/3/2025,aws,aws-acct-001,,cloudwatch,us-west-2,cloudwatch-8504,logs,0.8,300.55,metrics,data,prod,data-lake,data_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-central1,compute_engine-4767,vm-gpu-a10,31.38,115.27,vCPU_hours,mlops,prod,agent-platform,mlops_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-central1,compute_engine-1918,vm-small,5.86,81.45,vCPU_hours,security,prod,rag-service,security_owner
11/3/2025,gcp,,gcp-proj-data,compute_engine,us-central1,compute_engine-7452,vm-gpu-a10,13.57,49.76,vCPU_hours,security,nonprod,data-lake,security_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-east4,compute_engine-8753,vm-medium,3.83,51.15,vCPU_hours,finops,prod,risk-monitor,finops_owner
11/3/2025,gcp,,gcp-proj-data,compute_engine,us-central1,compute_engine-5606,vm-medium,12,184.4,vCPU_hours,data,prod,risk-monitor,data_owner
11/3/2025,gcp,,gcp-proj-data,compute_engine,us-central1,compute_engine-9574,vm-gpu-l4,6.65,28.82,vCPU_hours,security,nonprod,finops-core,security_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-central1,compute_engine-3096,vm-gpu-l4,6.5,27.37,vCPU_hours,platform,nonprod,risk-monitor,platform_owner
11/3/2025,gcp,,gcp-proj-data,compute_engine,us-east4,compute_engine-3225,vm-gpu-l4,9.74,46.63,vCPU_hours,finops,prod,finops-core,finops_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-east4,compute_engine-7774,vm-gpu-a10,40.89,172.04,vCPU_hours,platform,prod,data-lake,platform_owner
11/3/2025,gcp,,gcp-proj-data,compute_engine,us-central1,compute_engine-6791,vm-gpu-l4,26.79,101.73,vCPU_hours,finops,prod,rag-service,finops_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-east4,compute_engine-5487,vm-small,4.1,67.51,vCPU_hours,platform,nonprod,finops-core,platform_owner
11/3/2025,gcp,,gcp-proj-data,compute_engine,us-east4,compute_engine-9453,vm-small,6.8,106.09,vCPU_hours,security,prod,finops-core,security_owner
11/3/2025,gcp,,gcp-proj-ml,compute_engine,us-east4,compute_engine-5829,vm-gpu-l4,11.68,49.79,vCPU_hours,platform,nonprod,data-lake,platform_owner
