Date,Cloud Provider,Service,Department,Project,Region,Environment,Cost,Usage,Unit,Cost Center,Year,Month,Quarter,Month-Year,Optimization Status,Potential Savings
1/1/2023,AWS,EC2,Engineering,Core Platform,us-west-2,Production,1238.78,12387.81,instance-hours,ENG-328,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Engineering,Core Platform,eu-west-1,Production,1033.41,10334.05,instance-hours,ENG-858,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,Core Platform,us-east-1,Production,243.56,10589.42,GB-month,ENG-130,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,Core Platform,us-west-2,Production,281.31,12230.68,GB-month,ENG-716,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,Core Platform,eu-west-1,Production,205.53,8935.96,GB-month,ENG-765,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,Core Platform,us-east-1,Production,554.81,3791.9,units,ENG-990,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,Core Platform,us-west-2,Development,142.24,403.99,units,ENG-448,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,Core Platform,eu-west-1,Production,641.19,1669.28,units,ENG-204,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,Core Platform,ap-southeast-1,Production,534.51,1256.86,units,ENG-718,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,Core Platform,us-east-1,Production,174.95,874736012.5,requests,ENG-570,2023,1,1,2023-01,Reserved Instance Candidate,67.39
1/1/2023,AWS,Lambda,Engineering,Core Platform,us-west-2,Testing,17.57,87827612,requests,ENG-487,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,Core Platform,eu-west-1,Production,116.97,584852695.9,requests,ENG-743,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,Core Platform,us-west-2,Development,22.87,704.59,units,ENG-333,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,Core Platform,eu-west-1,Production,177.49,423.88,units,ENG-266,2023,1,1,2023-01,Reserved Instance Candidate,55.76
1/1/2023,AWS,EBS,Engineering,Core Platform,ap-southeast-1,Production,188.32,1337.3,units,ENG-799,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Data Transfer,Engineering,Core Platform,eu-west-1,Development,29.88,331.7,units,ENG-488,2023,1,1,2023-01,Right-sizing Opportunity,11.67
1/1/2023,AWS,Data Transfer,Engineering,Core Platform,ap-southeast-1,Testing,18.76,54.04,units,ENG-324,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,Core Platform,ap-southeast-1,Production,267.37,1624.66,units,ENG-374,2023,1,1,2023-01,Reserved Instance Candidate,102.5
1/1/2023,AWS,EC2,Engineering,Mobile App,us-east-1,Testing,117.67,1176.65,instance-hours,ENG-680,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EC2,Engineering,Mobile App,eu-west-1,Staging,186.4,1864,instance-hours,ENG-505,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,Mobile App,us-west-2,Production,278.83,12123.09,GB-month,ENG-862,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,Mobile App,eu-west-1,Production,205.89,8951.67,GB-month,ENG-698,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,Mobile App,ap-southeast-1,Staging,65.56,2850.48,GB-month,ENG-470,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,Mobile App,us-east-1,Testing,67.82,261.17,units,ENG-193,2023,1,1,2023-01,Right-sizing Opportunity,22.73
1/1/2023,AWS,RDS,Engineering,Mobile App,ap-southeast-1,Production,528.05,1537.54,units,ENG-710,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,Mobile App,us-east-1,Production,150.13,750640244.5,requests,ENG-579,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,Mobile App,us-west-2,Testing,11.64,58175901.97,requests,ENG-981,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,Mobile App,us-east-1,Development,23.59,62.41,units,ENG-887,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,Mobile App,eu-west-1,Production,91.62,394.38,units,ENG-839,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,Mobile App,us-east-1,Staging,81.22,832.67,units,ENG-208,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,Mobile App,eu-west-1,Staging,75.87,246.02,units,ENG-256,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,Mobile App,ap-southeast-1,Production,394.01,825.64,units,ENG-643,2023,1,1,2023-01,Reserved Instance Candidate,140.08
1/1/2023,AWS,Data Transfer,Engineering,Mobile App,us-west-2,Production,178.96,2761.08,units,ENG-471,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,Mobile App,us-east-1,Production,198.35,450.56,units,ENG-180,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,Mobile App,us-west-2,Production,292.95,6670.9,units,ENG-878,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,Mobile App,eu-west-1,Production,190.14,570.51,units,ENG-662,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,ElastiCache,Engineering,Mobile App,ap-southeast-1,Staging,78.62,255.9,units,ENG-316,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,API Services,us-east-1,Staging,39.33,1710.19,GB-month,ENG-482,2023,1,1,2023-01,Potential Waste,22.57
1/1/2023,AWS,S3,Engineering,API Services,us-west-2,Staging,47.5,2065.4,GB-month,ENG-223,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,API Services,eu-west-1,Production,224.11,9744.11,GB-month,ENG-121,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,S3,Engineering,API Services,ap-southeast-1,Production,247.47,10759.62,GB-month,ENG-325,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,API Services,us-east-1,Development,117.96,3036.34,units,ENG-169,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,RDS,Engineering,API Services,ap-southeast-1,Production,565.03,1672.67,units,ENG-319,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,API Services,us-east-1,Development,25.29,126436537.5,requests,ENG-684,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,API Services,us-west-2,Production,58.73,293674927.8,requests,ENG-584,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,Lambda,Engineering,API Services,ap-southeast-1,Production,102.36,511794790.1,requests,ENG-541,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,API Services,us-east-1,Production,95.4,220.17,units,ENG-155,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,CloudFront,Engineering,API Services,ap-southeast-1,Production,136.31,773.33,units,ENG-982,2023,1,1,2023-01,Optimized,0
1/1/2023,AWS,EBS,Engineering,API Services,us-east-1,Production,307.26,1126.4,units,ENG-243,2023,1,1,2023-01,Optimized,0
